region,num_of_entries,avg_p,mean_p
Банишора,253,1238,1200
Белите брези,43,1450,1401
Бенковски,10,866,849
Борово,116,1457,1351
Ботунец,6,536,431
Ботунец 2,9,524,430
Бояна,317,1376,1336
Бъкстон,194,1235,1201
Витоша,989,1252,1217
Военна рампа,2,769,769
Враждебна,4,1075,1099
Връбница 1,31,1018,1021
Връбница 2,66,838,800
Гевгелийски,7,1258,1292
Гео Милев,122,1545,1519
Горна баня,44,1147,1172
Горубляне,38,1077,1026
Гоце Делчев,149,1527,1521
Градина,3,1466,1354
Дианабад,187,1328,1287
Докторски паметник,76,2987,2990
Драгалевци,345,1281,1250
Дружба 1,101,1141,1095
Дружба 2,149,1184,1142
Дървеница,180,1158,1151
Западен парк,59,1143,1141
Захарна фабрика,25,1006,1026
Зона Б-18,100,1268,1197
Зона Б-19,47,1258,1250
Зона Б-5,67,1400,1333
Зона Б-5-3,32,1438,1229
Иван Вазов,62,2200,2211
Изгрев,66,1854,1847
Изток,154,1976,1950
Илинден,42,1160,1205
Илиянци,2,497,497
Карпузица,111,1059,1048
Княжево,53,1067,961
Красна поляна 1,51,1033,1000
Красна поляна 2,45,1053,1000
Красна поляна 3,27,1037,1020
Красно село,87,1296,1242
Кремиковци,4,623,613
Кръстова вада,852,1285,1253
Лагера,226,1234,1210
Левски,14,992,1009
Левски В,9,915,961
Левски Г,25,1247,1325
Лозенец,403,2013,1842
Люлин - център,80,993,974
Люлин 1,69,938,922
Люлин 2,90,950,942
Люлин 3,89,971,985
Люлин 4,54,1045,919
Люлин 5,99,962,952
Люлин 6,106,1046,1053
Люлин 7,36,1194,1147
Люлин 8,70,1104,1126
Люлин 9,43,930,898
Люлин 10,241,950,900
